"threshold","mean_turns","max_turns","min_turns","var_turns","CI_lower","CI_upper","div"
"1",0.1,42.1325,105,2,492.160344611529,39.95183,44.31317,"giga_google"
"2",0.2,29.3475,74,3,192.533076441103,27.98358,30.71142,"giga_google"
"3",0.3,15.775,51,0,118.916666666667,14.70309,16.84691,"giga_google"
"4",0.1,42.135,110,2,388.498020050125,40.19754,44.07246,"giga_tw"
"5",0.2,30.9,69,3,221.31328320802,29.43768,32.36232,"giga_tw"
"6",0.3,16.48,55,0,128.124912280702,15.36736,17.59264,"giga_tw"
"7",0.1,41.53,97,2,420.831177944862,39.51353,43.54647,"giga_wiki"
"8",0.2,30.1375,69,2,178.630169172932,28.82374,31.45126,"giga_wiki"
"9",0.3,17.0925,50,0,125.191923558897,15.99267,18.19233,"giga_wiki"
"10",0.1,45.085,119,3,443.571704260652,43.01477,47.15523,"google_tw"
"11",0.2,33.015,80,4,208.255413533835,31.59648,34.43352,"google_tw"
"12",0.3,26.38,71,0,194.060751879699,25.01068,27.74932,"google_tw"
"13",0.1,41.4975,103,2,386.010018796993,39.56626,43.42874,"google_wiki"
"14",0.2,31.8725,78,2,245.484956140351,30.3324,33.4126,"google_wiki"
"15",0.3,21.0775,60,0,145.174429824561,19.89314,22.26186,"google_wiki"
"16",0.1,44.1575,100,3,390.42876566416,42.21524,46.09976,"tw_wiki"
"17",0.2,33.32,82,2,221.165513784461,31.85817,34.78183,"tw_wiki"
"18",0.3,23.93,84,0,186.832180451128,22.58642,25.27358,"tw_wiki"
"19",0.1,41.5175,108,3,419.67428660826,40.09577,42.93923,"same_network"
"20",0.2,30.5175,86,2,228.535362953692,29.46835,31.56665,"same_network"
"21",0.3,22.60125,62,0,166.310136107634,21.70625,23.49625,"same_network"
"22",0.1,20.56875,61,1,99.1141661451818,19.87783,21.25967,"individual"
"23",0.2,20.30625,50,1,97.817232478098,19.61986,20.99264,"individual"
"24",0.3,16.33375,42,0,80.1850923028786,15.7123,16.9552,"individual"
